Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"TP1","TP1","PinHeader_1x01_P2.54mm_Vertical",128.700000,-82.700000,0.000000,top
"TP2","GND","PinHeader_1x01_P2.54mm_Vertical",205.100000,-75.300000,0.000000,top
"TP4","JFET_IN","PinHeader_1x01_P2.54mm_Vertical",134.000000,-82.700000,0.000000,top
"TP8","TP8","PinHeader_1x01_P2.54mm_Vertical",178.200000,-109.200000,0.000000,top
"TR2","PULSE PH9084","Pulse_P0926NL",186.060000,-112.000000,0.000000,top
"U1","JFE2140","SOIC-8_3.9x4.9mm_P1.27mm",132.625000,-89.275000,90.000000,top
"U2","LM361","SOIC-14_3.9x8.7mm_P1.27mm",142.350000,-89.275000,90.000000,top
"U3","LM361","SOIC-14_3.9x8.7mm_P1.27mm",142.350000,-107.100000,90.000000,top
"U4","SN74LV1T34DBV","SOT-23-5",192.437500,-75.850000,-90.000000,top
"U5","2040 Pico","RPi_Pico_SMD_TH",186.000000,-92.000000,-90.000000,top
"U6","SN74LV1T34DBV","SOT-23-5",184.725000,-75.850000,-90.000000,top
